Upper Thomson MRT Station (TE8),1 Jalan Keli S(577937),MRT Station,https://www.toilet.org.sg/gallery/421/4-Star-Toilet-Upper-Thomson-Mrt-Station-TE8-
Woodleigh MRT Station (NE11),400 Upper Serangoon Road S(347695),MRT Station,https://www.toilet.org.sg/gallery/316/4-star-toilet-woodleigh-mrt-station-ne11
Yio Chu Kang MRT Station (NS15),3000 Ang Mo Kio Avenue 8 S(569813),MRT Station,https://www.toilet.org.sg/gallery/375/4-star-toilet-yio-chu-kang-mrt-station-ns15
The Oval Seletar Aerospace Park,3 Park Lane S(798387),Park,https://www.toilet.org.sg/gallery/452/4-Star-Toilet-The-Oval-Seletar-Aerospace-Park
Marina South Pier,31 Marina Coastal Drive S(018988),Pier,https://www.toilet.org.sg/gallery/279/5-Star-Toilet-Marina-South-Pier
St.George's Church,44 Minden Road S(248816),Place of worship,https://www.toilet.org.sg/gallery/407/3-star-toilet-st-george-s-church
Lum Chang Building,14 Kung Chong Road S(159150),Private Office,https://www.toilet.org.sg/gallery/71/5-star-toilet-lum-chang-building
Wee Hur Construction Pte Ltd,39 Kim Keat Road Wee Hur Building S(328814),Private Office,https://www.toilet.org.sg/gallery/72/4-star-toilet-wee-hur-building
MTR 1924 Indian Restaurant,438 Serangoon Road S(218133),Restaurant,
Buangkok Square Mall,991 Buangkok Link Buangkok Square Mall S(530991),Shopping Centre,https://www.toilet.org.sg/gallery/398/5-star-toilet-buangkok-square-mall
City Square Mall,180 Kitchener Road City Square Mall S(208539),Shopping Centre,https://www.toilet.org.sg/gallery/430/5-Star-Toilet-City-Square-Mall
Dawson Place Shopping Centre,57 Dawson Road S(142057),Shopping Centre,https://www.toilet.org.sg/gallery/46/4-star-toilet-dawson-place-shopping-centre
New Bridge Centre,336 Smith Street S(050336),Shopping Centre,https://www.toilet.org.sg/gallery/39/4-star-toilet-new-bridge-centre
Palais Renaissance,390 Orchard Road S(238871),Shopping Centre,https://www.toilet.org.sg/gallery/428/3-Star-Toilet-Palais-Renaissance
Quayside Isle | Sentosa Island,31 Ocean Way S(098375),Shopping Centre,https://www.toilet.org.sg/gallery/429/3-Star-Toilet-Quayside-Isle
Raffles City Shopping Centre,252 North Bridge Road S(179103),Shopping Centre,https://www.toilet.org.sg/gallery/402/4-star-toilet-raffles-city-shopping-centre
Robertson Walk,11 Unity Street #02-20A S(237995),Shopping Centre,https://www.toilet.org.sg/gallery/41/4-star-toilet-robertson-walk
The Central,6 Eu Tong Sen Street S(059817),Shopping Centre,https://www.toilet.org.sg/gallery/208/5-stars-the-central
The Shoppes at Marina Bay Sands,2 Bayfront Avenue S(018972),Shopping Centre,https://www.toilet.org.sg/gallery/207/6-star-toilet-the-shoppes-at-marina-bay-sands
Tiong Bahru Plaza,302 Tiong Bahru Road S(168732),Shopping Centre,https://www.toilet.org.sg/gallery/44/4-and-5-star-toilet-tiong-bahru-plaza
Valley Point Mall,491 River Valley Road S(248371),Shopping Centre,https://www.toilet.org.sg/gallery/43/4-star-toilet-valley-point-mall
ArBora Cafe,109 Mount Faber Road Level 2 S(099230),Tourist Attraction,https://www.toilet.org.sg/gallery/400/5-star-toilet-arbora-cafe
Merlion Park@Fullerton,1 Fullerton Road S(049178),Tourist Attraction,https://www.toilet.org.sg/gallery/57/5-star-toilet-merlion-park-fullerton
Mount Faber Peak,109 Mount Faber Road Level 1 S(099230),Tourist Attraction,https://www.toilet.org.sg/gallery/399/5-star-toilet-mount-faber-peak
Sentosa Beach Station,33 Allanbroke Road Sentosa S(099981),Tourist Attraction,https://www.toilet.org.sg/gallery/58/5-star-toilet-sentosa-beach-station
Sentosa Boardwalk,Sentosa Boardwalk,Tourist Attraction,https://www.toilet.org.sg/gallery/333/5-star-toilet-sentosa-boardwalk
Sentosa Imbiah Lookout,Imbiah Lookout Sentosa S(099538),Tourist Attraction,https://www.toilet.org.sg/gallery/60/5-star-toilet-sentosa-imbiah-lookout
Sentosa Imbiah Station,Imbiah Express Station Sentosa S(099981),Tourist Attraction,https://www.toilet.org.sg/gallery/59/5-star-toilet-sentosa-imbiah-station
Sentosa Palawan Beach (East),Palawan Beach Walk S(098521),Tourist Attraction,https://www.toilet.org.sg/gallery/243/5-stars-sentosa-palawan-beach-east
Sentosa Palawan Beach (West),Palawan Beach Walk S(098038),Tourist Attraction,https://www.toilet.org.sg/gallery/242/5-stars-sentosa-palawan-beach-west
Sentosa Palawan Kidz City,31 Beach View Palawan Kidz City S(098008),Tourist Attraction,https://www.toilet.org.sg/gallery/56/5-star-toilet-sentosa-palawan-kidz-city
Sentosa Silosa Beach (East),Siloso Beach Walk S(098997),Tourist Attraction,https://www.toilet.org.sg/gallery/241/5-stars-sentosa-silosa-beach-east
Sentosa Siloso (West),Sentosa Siliso East,Tourist Attraction,https://www.toilet.org.sg/gallery/334/5-star-toilet-sentosa-siloso-west
Sentosa Wings of Time,Wings of Time Sentosa S(099538),Tourist Attraction,https://www.toilet.org.sg/gallery/61/5-star-toilet-sentosa-wings-of-time
The Fullerton Water Boat House,1 Fullerton Road S(049213),Tourist Attraction,https://www.toilet.org.sg/gallery/238/5-stars-the-fullerton-water-boat-house
Compassvale Bus Interchange,51A Compassvale Road S(544760),Bus Interchange,https://www.toilet.org.sg/gallery/288/3-star-toilet-compassvale-bus-interchange
Hougang Bus Interchanage,840 Hougang Central S(53877),Bus Interchange,https://www.toilet.org.sg/gallery/310/3-star-toilet-hougang-bus-interchange
Punggol Bus Interchange,70A Punggol Place S(828865),Bus Interchange,https://www.toilet.org.sg/gallery/391/4-star-toilet-punggol-bus-interchange
Sengkang Bus Interchange,13 Sengkang Square S(545077),Bus Interchange,https://www.toilet.org.sg/gallery/314/3-star-toilet-sengkang-bus-interchange
Tampines Bus Interchange,512 Tampines Central 1 S(520512),Bus Interchange,https://www.toilet.org.sg/gallery/315/4-star-toilet-tampines-bus-interchange
Tampines Concourse Bus Interchange,11 Tampines Concourse S(529543),Bus Interchange,https://www.toilet.org.sg/gallery/294/3-star-toilet-tampines-concourse-bus-interchange
NTUC Club Downtown East,1 Pasir Ris Close S(519599),Club,https://www.toilet.org.sg/gallery/394/5-star-toilet-ntuc-club-downtown-east
Safra Punggol,9 Sentul Crescent S(828654),Club,https://www.toilet.org.sg/gallery/96/5-star-toilet-safra-punggol
Kopitiam @ 231 Sumang Lane,231 Sumang Lane S(820231),Coffeeshop,https://www.toilet.org.sg/gallery/423/3-Star-Toilet-Kopitiam-231-Sumang-Lane
Kopitiam @ 275D Compassvale Link,275D Compassvale Link #01-01 S(544275),Coffeeshop,https://www.toilet.org.sg/gallery/437/3-Star-Toilet-Kopitiam-275D-Compassvale-Link
Kopitiam @ 639 Punggol Drive,639 Punggol Drive #01-07 S(820639),Coffeeshop,https://www.toilet.org.sg/gallery/441/3-Star-Toilet-Kopitiam-639-Punggol-Drive
Kopitiam @108 Punggol Field,108 Punggol Field #01-01 S(820108),Coffeeshop,https://www.toilet.org.sg/gallery/431/3-Star-Toilet-Kopitiam-108-Punggol-Field
NTUC Foodfare @ 273C Punggol Place,273C Punggol Place #01-882 S(823273),Coffeeshop,https://www.toilet.org.sg/gallery/443/3-Star-Toilet-NTUC-Foodfare-273C-Punggol-Place
Chomp Chomp Food Centre,20 Kensington Park Road S(557269),Market & Food Centre,https://www.toilet.org.sg/gallery/103/3-star-toilet-chomp-chomp-food-centre
Hawker Centre @ Our Tampines Hub,902 Tampines Avenue 4 S(520902),Market & Food Centre,https://www.toilet.org.sg/gallery/102/3-star-toilet-hawker-centre-our-tampines-hub
Pasir Ris Central Hawker Centre,110 Pasir Ris Central S(519641),Market & Food Centre,https://www.toilet.org.sg/gallery/278/5-Star-Toilet-Pasir-Ris-Central-Hawker-Centre
Serangoon Garden Market,49A Serangoon Garden Way S(555945),Market & Food Centre,https://www.toilet.org.sg/gallery/104/5-star-toilet-serangoon-garden-market
Tampines Round Market & Food Centre,Blk 137 Tampines Street 11 S(521137),Market & Food Centre,https://www.toilet.org.sg/gallery/331/4-star-toilet-tampines-round-market-and-food-centre
Bedok Reservoir MRT Station (DT30),371 Bedok North Avenue 3 S(469724),MRT Station,https://www.toilet.org.sg/gallery/251/4-stars-bedok-reservoir-mrt-station-dt30
Buangkok MRT Station (NE15),10 Sengkang Central S(545061),MRT Station,https://www.toilet.org.sg/gallery/319/4-star-toilet-buangkok-mrt-station-ne15
Eunos MRT Station,30 Eunos Crescent S(409423),MRT Station,https://www.toilet.org.sg/gallery/98/4-star-toilet-eunos-mrt
Hougang MRT Station (NE14),80 Hougang Central S(538758),MRT Station,https://www.toilet.org.sg/gallery/320/4-star-toilet-hougang-mrt-station-ne14
Kaki Bukit MRT Station (DT28),30 Kaki Bukit Avenue 1 S(415804),MRT Station,https://www.toilet.org.sg/gallery/271/4-star-toilet-kaki-bukit-mrt-station-dt28
Kembangan MRT Station,55 Sims Avenue East S(416551),MRT Station,https://www.toilet.org.sg/gallery/99/4-star-toilet-kembangan-mrt
Kovan MRT Station (NE13),900 Upper Serangoon Rd S(534799),MRT Station,https://www.toilet.org.sg/gallery/322/4-star-toilet-kovan-mrt-ne13
Pasir Ris MRT Station,10 Pasir Ris Central S(519634),MRT Station,https://www.toilet.org.sg/gallery/97/4-star-toilet-pasir-ris-mrt-station
Punggol MRT Station-NE17,10 Punggol Central S(828868),MRT Station,https://www.toilet.org.sg/gallery/298/5-star-toilet-punggol-mrt-station-ne17
Sengkang MRT Station (NE16),5 Sengkang Square S(545062),MRT Station,https://www.toilet.org.sg/gallery/327/4-star-toilet-sengkang-mrt-staton-ne16
Tampines East MRT Station (DT33),20 Tampines Avenue 7 S(529623),MRT Station,https://www.toilet.org.sg/gallery/248/4-stars-tampines-east-mrt-station-dt33
Tampines MRT Station,20 Tampines Central S(529538),MRT Station,https://www.toilet.org.sg/gallery/101/4-star-toilet-tampines-mrt
Tampines MRT Station (DT32),20 Tampines Central S(529538),MRT Station,https://www.toilet.org.sg/gallery/249/4-stars-tampines-mrt-station-dt32
Tampines West MRT Station (DT31),2 Tampines Avenue 4 S(529683),MRT Station,https://www.toilet.org.sg/gallery/250/4-stars-tampines-west-mrt-station-dt31
Tanah Merah MRT Station,920 New Upper Changi Road (467356),MRT Station,https://www.toilet.org.sg/gallery/100/4-star-toilet-tanah-merah-mrt
